"","studyid","obsid","lnwtp","wlfresh","lnyear","lninc","sagulf","nema","nmw","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","canada","q01","q_percent","lnwtp2","q_change","us"
"26",127,1273,7.014814351,1,-0.515525637668789,0.398394606289977,0,0,0,1,0,1,0,0,-0.498835988835603,-0.507091722860468,0,0,0,1,0,1,13.2585,0.210302575643911,6.08936568134108,2.523,0
"27",127,1274,3.625140613,1,-0.515525637668789,0.398394606289977,0,0,0,1,0,1,0,0,-0.498835988835603,-0.506007881208733,0,0,0,1,0,1,13.6235,0.271151121113612,2.44556296550879,3.253,0
"28",127,1275,5.47478851,1,-0.515525637668789,0.398394606289977,0,0,0,1,0,1,0,0,-0.498835988835603,-0.506007881208733,0,0,0,1,0,1,13.6235,0.271151121113612,4.29521086250879,3.253,0
"29",127,1276,6.992757973,1,-0.515525637668789,0.398394606289977,0,0,0,1,0,1,0,0,-0.498835988835603,-0.506007881208733,0,0,0,1,0,1,13.6235,0.271151121113612,5.81318032550879,3.253,0
"30",128,1281,5.763088581,1,-0.515525637668789,0.289483191060417,0,0,0,0,0,1,0,0,1.25933043783925,1.02243452435555,0,0,0,1,0,1,994.9455,0.105283705163729,1.16280029210352,99.513,0
"31",128,1282,5.784932262,1,-0.530604715510514,0.289483191060417,0,0,0,0,0,1,0,0,1.25933043783925,1.08194188517958,0,0,0,1,0,1,1014.9855,0.147687922732914,0.84620121619542,139.593,0
"32",128,1283,5.806248806,1,-0.530604715510514,0.289483191060417,0,0,0,0,0,1,0,0,1.25933043783925,1.14233859004387,0,0,0,1,0,1,1035.325,0.190725875988824,0.61178198457819,180.272,0
"33",128,1284,5.848632898,1,-0.530604715510514,0.289483191060417,0,0,0,0,0,1,0,0,1.25933043783925,1.26313348448703,0,0,0,1,0,1,1076.0045,0.276802840490103,0.281697783908656,261.631,0
"34",128,1285,5.928524747,1,-0.530604715510514,0.289483191060417,0,0,0,0,0,1,0,0,1.25933043783925,1.48458905879914,0,0,0,1,0,1,1150.583,0.434609374421412,-0.0895525193327114,410.788,0
"35",129,1291,4.990296523,1,-0.663300600517697,0.988731958876139,0,0,0,1,1,1,0,0,-0.513525810039368,-0.516178176159946,1,1,0,0,0,1,6.3,1,3.55521199771068,4.2,0
"36",129,1292,4.446291681,1,-0.663300600517697,0.988731958876139,0,0,0,1,1,1,0,0,-0.513525810039368,-0.516178176159946,1,1,0,0,0,1,6.3,1,3.01120715571068,4.2,0
"37",129,1293,4.330470148,1,-0.663300600517697,0.988731958876139,0,0,0,1,1,1,0,0,-0.513525810039368,-0.516178176159946,1,1,0,0,0,1,6.3,1,2.89538562271068,4.2,0
"38",130,1301,2.841998174,1,-0.546437747244326,-1.72202307147279,0,0,0,1,1,0,0,1,-0.52143875720569,-0.519913718071953,0,0,0,1,1,1,2.942,100,1.06976137126081,5.884,0
"39",130,1302,1.778336449,1,-0.546437747244326,-1.72202307147279,0,0,0,1,1,0,0,1,-0.52143875720569,-0.511872503844834,0,0,0,1,1,1,5.65,100,-0.646466276718295,11.3,0
"40",130,1303,0,1,-0.546437747244326,-1.72202307147279,0,0,0,1,1,0,0,1,-0.52143875720569,-0.517651013034632,0,0,0,1,1,1,3.704,100,-2.00256049734388,7.408,0
"41",130,1304,1.650579856,1,-0.546437747244326,-1.72202307147279,0,0,0,1,1,0,0,1,-0.52143875720569,-0.507391635207935,0,0,0,1,1,1,7.159,100,-1.01093763097399,14.318,0
"42",131,1311,2.527702889,1,4.20790843794972,0.988731958876139,0,0,0,0,1,1,1,1,1.94129460112343,1.56986364135723,0,0,1,1,0,1,1360.2855,0.0812854442344044,-2.13812015370004,106.253,0
"43",131,1312,3.230280058,1,4.20790843794972,0.988731958876139,0,0,0,0,1,1,1,1,1.94129460112343,1.87069948129949,0,0,1,1,0,1,1461.5965,0.236294896030246,-2.50265660630877,308.875,0
